Full committee chairman|Darrell Issa|{'relation': 'is being here'}
Vet Centers|services|{'relation': 'are involved'}
this subcommittee|adjourned|{'relation': 'stands'}
Committee|people|{'relation': 'has concerns from'}
tribal communities|federal relations personnel|{'relation': 'are located in'}
vaccine safety surveillance|question|{'relation': 'about'}
wildlife agencies|Federal land|{'relation': 'can do management on'}
education|providers|{'relation': 'leads to issues for Tribal citizens'}
Veterans Bureau|VA|{'relation': 'has been consolidated into'}
Mr. Committee Ranking Member|Mr. Chairman|{'relation': 'is a colleague of'}
rulemakings|small businesses|{'relation': 'affect'}
Committee|solution|{'relation': 'needs to be found'}
rural areas|help|{'relation': 'needs different'}
Congress|Federal legislation|{'relation': 'has the authority to enact more'}
the witnesses|the subcommittee|{'relation': 'have been thanked by'}
Members of the Committee|Chairperson|{'relation': 'is being addressed by'}
Federal funding|tribal social and economic issues|{'relation': 'is not enough to tackle'}
Our government|veterans|{'relation': 'holds in high regard'}
helping|your fellow veterans|{'relation': 'you are helping'}
veterans' best interest|veterans|{'relation': 'are being considered'}
Mr. Chairman|Mr. Chairman|{'relation': 'is addressed as'}
U.S. Forest Service|timber|{'relation': 'manages for'}
Drug cartels|human smuggling|{'relation': 'are playing a role in throughout the region'}
Tribal organizations|federal programs|{'relation': 'would be required to provide reports'}
Chairman, Ranking Members|members of the committee|{'relation': 'thank'}
Forest Service|Department of Environmental Protection|{'relation': 'works in conjunction with'}
Mr|Chairman|{'relation': 'Thank you Mr'}
Congress|federal government|{'relation': 'is working with'}
VA health care|Combat Veteran|{'relation': 'can enroll in'}
VA|health care|{'relation': 'has provided'}
Oversight Committee|Committee|{'relation': 'is also known as'}
Current vaccine safety mechanisms|Doctors|{'relation': 'are insufficient for'}
the Tribal Assistance Program|tribes|{'relation': 'is about engagement with'}
Small Businesses|Regulations|{'relation': 'are being overregulated by'}
veteran resources|community services|{'relation': 'is related to'}
community|veterans|{'relation': 'are part of'}
rules and regulations|small businesses|{'relation': 'are stifling'}
farmers|rural communities|{'relation': 'are'}
Members of the committee|Congress|{'relation': 'are members of the committee'}
ongoing research and understanding of long COVID|research|{'relation': 'is an invaluable resource in'}
Chairman|direction|{'relation': 'is in'}
committee|situations|{'relation': 'is addressing'}
VA services|veteran resources|{'relation': 'is related to'}
subcommittee|joint committee|{'relation': 'is a part of'}
Committee|leadership|{'relation': 'has'}
Congress|legislation|{'relation': 'is working with'}
VA medical system|veterans|{'relation': 'is for'}
Committee|questions|{'relation': 'may have'}
Chair|Chairman|{'relation': 'thanks to'}
Committee|issue|{'relation': 'is working on'}
VA healthcare and benefits|veterans|{'relation': 'is for'}
Members of the Committee|Committee|{'relation': 'is made up of'}
Tribal Nations|Tribal|{'relation': 'have sought to develop'}
Mr. Chairman|leadership|{'relation': 'thank you for'}
Committee|today|{'relation': 'is meeting'}
understanding long COVID|clinics and studies|{'relation': 'are crucial to'}
Committee on Veterans' Affairs|States|{'relation': 'assist'}
Committee|staff|{'relation': 'has been working together on'}
VA and community providers|veterans|{'relation': 'housed'}
Tribal members|health and human services|{'relation': 'are supported by Federal funds and tribal governments'}
committee|oversight|{'relation': 'fulfill its'}
Mr. Chairman|Committee|{'relation': 'is a member of'}
veterans|VA|{'relation': 'works for'}
